Country,Subregion,Region,UN R,UN P,CIA R,CIA P4,World Bank Gini %,Year,,,,,,,,,
 Mauritania,Western Africa,Africa,12,5.4,11.8,2000,32,2019,,,,,,,,,
 Mauritius,Eastern Africa,Africa,,5.9,,,36.8,2017,,,,,,,,,
 Mexico,North America,Americas,21.6,8.8,24.6,2004,43.5,2022,,,,,,,,,
 Micronesia,Micronesia,Oceania,,8.4,,,40.1,2013,,,,,,,,,
 Moldova,Eastern Europe,Europe,8.2,3.6,8.3,2003,25.7,2021,,,,,,,,,
 Mongolia,Eastern Asia,Asia,8.2,5.1,8.2,2002,31.4,2022,,,,,,,,,
 Montenegro,Southern Europe,Europe,,4.8,,,34.3,2021,,,,,,,,,
 Morocco,Northern Africa,Africa,11.7,7,11.9,1999,39.5,2013,,,,,,,,,
 Mozambique,Eastern Africa,Africa,18.8,14.2,18.8,2002,50.5,2019,,,,,,,,,
 Myanmar,South-eastern Asia,Asia,,6.3,11.6,1998,30.7,2017,,,,,,,,,
 Namibia,Southern Africa,Africa,106.6,22.8,129,2003,59.1,2015,,,,,,,,,
 Nepal,Southern Asia,Asia,15.8,5,15.6,2004,32.8,2010,,,,,,,,,
 Netherlands,Western Europe,Europe,9.2,4.2,9.2,1999,25.7,2021,,,,,,,,,
 New Zealand,"Australia, New Zealand",Oceania,12.4,,,,33.9,2019,,,,,,,,,
 Nicaragua,Central America,Americas,31,10.2,15.4,2001,46.2,2014,,,,,,,,,
 Niger,Western Africa,Africa,46,5.4,44.3,1995,32.9,2021,,,,,,,,,
 Nigeria,Western Africa,Africa,17.8,9.1,17.5,2003,35.1,2018,,,,,,,,,
 Norway,Northern Europe,Europe,6.1,4.1,6,2000,27.7,2019,,,,,,,,,
 Pakistan,Southern Asia,Asia,6.5,4.8,6.6,2002,29.6,2018,,,,,,,,,
 Panama,Central America,Americas,49.9,15.9,61.4,2003,48.9,2023,,,,,,,,,
 Papua New Guinea,Melanesia,Oceania,23.8,9.3,23.8,1996,41.9,2009,,,,,,,,,
 Paraguay,South America,Americas,38.8,11.7,65.9,2003,45.1,2022,,,,,,,,,
 Peru,South America,Americas,26.1,10.3,31.5,2003,40.3,2022,,,,,,,,,
 Philippines,South-eastern Asia,Asia,15.5,7.2,15.5,2003,40.7,2021,,,,,,,,,
 Poland,Eastern Europe,Europe,8.8,4.6,8.7,2002,28.5,2021,,,,,,,,,
 Portugal,Southern Europe,Europe,15,6.4,9.2,1995,34.6,2021,,,,,,,,,
 Qatar,Western Asia,Asia,,,,,41.1,2007,,,,,,,,,
 Romania,Eastern Europe,Europe,7.5,8,7.4,2003,33.9,2021,,,,,,,,,
 Russia,Eastern Europe,Europe,12.7,6.6,12.8,2002,36,2020,,,,,,,,,
 Rwanda,Eastern Africa,Africa,18.6,8.5,18.2,2000,43.7,2016,,,,,,,,,
 São Tomé and Príncipe,Middle Africa,Africa,,4.7,,,40.7,2017,,,,,,,,,
 Saudi Arabia,Western Asia,Asia,,,,,45.9,2013,,,,,,,,,
 Senegal,Western Africa,Africa,12.3,7.7,12.4,2001,36.2,2021,,,,,,,,,
 Serbia,Southern Europe,Europe,,4.2,,,33.1,2021,,,,,,,,,
 Seychelles,Eastern Africa,Africa,,9.8,,,32.1,2018,,,,,,,,,
 Sierra Leone,Western Africa,Africa,87.2,5.4,87.2,1989,35.7,2018,,,,,,,,,
 Singapore,South-eastern Asia,Asia,17.7,,17.3,1998,45.9,2017,,,,,,,,,
 Slovakia,Eastern Europe,Europe,6.7,4.1,6.7,1996,24.1,2021,,,,,,,,,
 Slovenia,Southern Europe,Europe,5.9,3.7,5.9,1998,24.3,2021,,,,,,,,,
 Somalia,Eastern Africa,Africa,,,,,36.8,2017,,,,,,,,,
 South Africa,Southern Africa,Africa,33.1,28.4,31.9,2000,63,2014,,,,,,,,,
 South Sudan,Eastern Africa,Africa,,13,,,44.1,2016,,,,,,,,,
 Spain,Southern Europe,Europe,10.3,7.3,10.2,2000,33.9,2021,,,,,,,,,
 Sri Lanka,Southern Asia,Asia,11.1,6.8,36.1,2003,37.7,2019,,,,,,,,,
 Saint Lucia,Caribbean,Americas,,6.8,,,51.2,2016,,,,,,,,,
 Sudan,Northern Africa,Africa,,6.2,,,34.2,2014,,,,,,,,,
 Suriname,South America,Americas,,,,,39.2,2022,,,,,,,,,
 Sweden,Northern Europe,Europe,6.2,4.6,6.2,2000,29.8,2021,,,,,,,,,
 Switzerland,Western Europe,Europe,9,5.2,8.9,2000,33.7,2020,,,,,,,,,
 Syria,Western Asia,Asia,,,,,26.6,2022,,,,,,,,,
 Taiwan,Eastern Asia,Asia,,,6.1,2002,34.1,2017,,,,,,,,,
 Tajikistan,Central Asia,Asia,7.8,5.6,7.8,2003,34,2015,,,,,,,,,
 Tanzania,Eastern Africa,Africa,9.2,6.2,9.3,2000,40.5,2018,,,,,,,,,
 Thailand,South-eastern Asia,Asia,12.6,6,12.4,2002,34.9,2021,,,,,,,,,
 East Timor,South-eastern Asia,Asia,,4.1,,,28.7,2014,,,,,,,,,
 Togo,Western Africa,Africa,,9.7,,,37.9,2021,,,,,,,,,
 Trinidad and Tobago,Caribbean,Americas,12.9,,,,40.3,1992,,,,,,,,,
 Tunisia,Northern Africa,Africa,13.4,5.2,13.7,2000,33.7,2021,,,,,,,,,
 Turkey,Western Asia,Asia,6.6,8.5,17.1,2003,44.4,2021,,,,,,,,,
 Turkmenistan,Central Asia,Asia,12.3,,12.2,1998,40.8,1998,,,,,,,,,
 Uganda,Eastern Africa,Africa,16.6,8.2,16.4,2002,42.7,2019,,,,,,,,,
 Ukraine,Eastern Europe,Europe,5.9,3.5,7.6,2006,25.6,2020,,,,,,,,,
 United Arab Emirates,Western Asia,Asia,,,,,26,2018,,,,,,,,,
 United Kingdom,Northern Europe,Europe,13.8,5.4,13.6,1999,32.4,2021,,,,,,,,,
 United States,Northern America,Americas,18.5,9.4,14,2014,39.8,2021,,,,,,,,,
 Uruguay,South America,Americas,11.8,7.8,17.9,2003,40.6,2022,,,,,,,,,
 Uzbekistan,Central Asia,Asia,10.6,,10.6,2003,31.2,2022,,,,,,,,,
 Venezuela,South America,Americas,18.8,15.8,50.3,2003,44.8,2006,,,,,,,,,
 Vietnam,South-eastern Asia,Asia,6.9,6.2,10,2004,36.1,2022,,,,,,,,,
 Yemen,Western Asia,Asia,8.6,6.1,8.6,2003,36.7,2014,,,,,,,,,
 Zambia,Eastern Africa,Africa,,21.1,,,51.5,2022,,,,,,,,,
 Zimbabwe,Eastern Africa,Africa,,8.6,,,50.3,2019,,,,,,,,,
 World,,,,,38,2007,,,,,,,,,,,
